Sentences,Tags
conclusions selected sample patients type 2 diabetes mild hypertension telmisar-tan nifedipine gits produced reductions blood pressure,Outcome (element O)
addition usual care participants randomized intervention received pride education program,Intervention and Comparison (element I and C)
extend previous short-term studies reduction lvh 4 treatment losartan atenolol,Outcome (element O)
participants underwent cpet modified bruce protocol measure maximum treadmill exercise time peak vo 2 ventilatory response exercise ve/vco 2,Intervention and Comparison (element I and C)
incidence relapse nonrelapse-associated death protocol participants signicant difference treatments,Outcome (element O)
intervention patients participated outpatient phase iii cr program 6 months,Intervention and Comparison (element I and C)
patients received medication current guidelines management patients stemi,Intervention and Comparison (element I and C)
decisions analgesia epidural discretion attending physician,Not Relevant to the Evidence (Label N)
peripheral arterial disease caspar study design,Population/Problem (element P)
study seated sbp dbp reduced baseline 12 months treatment telmisartan nifedipine gits < 0 01,Outcome (element O)
30 patients 2 reversed l-shaped ministernotomy sternal notch 3rd intercostal space,Intervention and Comparison (element I and C)
population women term indications labour induction modified bishops cervical score 8,Population/Problem (element P)
difference incidence postpartum hemorrhage 500 blood,Not Relevant to the Evidence (Label N)
median induction delivery time signicantly shorter vaginal misoprostol 15 7 range 4 3-55 7 compared oral misoprostol 23 0 range 3 2-141 7 0 0013,Outcome (element O)
exclusion criteria included previous uterine scar oligohydramnios amniotic uid 2 5 centile 19 intrauterine growth restriction estimated fetal weight 10 centile 20 prelabour rupture membranes multifetal pregnancy cervix favourable amniotomy,Population/Problem (element P)
nicu-neonatal intensive care unit,Not Relevant to the Evidence (Label N)
study entry 12 months patients underwent cardiopulmonary exercise test cpet echo-doppler study quality life qol assessment,Intervention and Comparison (element I and C)
patients study population comprised 166 newly diagnosed hypertensive individuals aged 60-75 diastolic blood pressure 95 115 mmhg systolic blood pressure 160 220 mmhg,Population/Problem (element P)
addition limitations primary endpoint disadvantages studies evident assessing safety detecting increase adverse events low background incidence require unachievable subjects,Not Relevant to the Evidence (Label N)
ngai al 23 patients underwent emergency cesarean delivery late decelerations 15 minutes oral 200-g dose,Intervention and Comparison (element I and C)
5 follow-up signicant difference primary patency rates 756% vein 519% polytetrauoroethylene 035,Outcome (element O)
contrast ssc neonates prone skin skin mothers chest bed rest period,Intervention and Comparison (element I and C)
continuous fetal heart rate monitoring low-risk women shortage cardiotocograph machines personnel,Intervention and Comparison (element I and C)
above-mentioned gabapentin dexamethasone administered hour varicocele operation result laryngeal tracheal intubation response postoperative analgesia postoperative nausea vomiting individual administration drug,Outcome (element O)
data analyzed standard deviation sd percentages statistical software social sciences spss version 17 0 chicago il usa,Not Relevant to the Evidence (Label N)
trial enrolled consecutive patients age acute stemi multivessel coronary disease detected time emergency pci,Population/Problem (element P)
finding concurrence studies bennett al,Not Relevant to the Evidence (Label N)
2003 2007 78 patients scheduled aortic valve replacement 75% aortic valve stenosis 24% aortic valve regurgitation 1% aortic valve disease randomized receive minimal sternotomy access ms conventional access st 11 ratio computer-generated randomization system 6-per-block design,Population/Problem (element P)
myocardial ischemia reduction aggressive cholesterol lowering miracl study tested hypothesis treatment atorvastatin 80 mg/d initiated presentation unstable angina non-q-wave acute mi reduces occurrence recurrent ischemic events death,Outcome (element O)
major ctg abnormalities defined late variable decelerations baseline tachycardia 160 beats minute decelerations reduced variability -5 beats minute baseline persistent bradycardia -105 beats minute,Not Relevant to the Evidence (Label N)
patients beta-blockers tolerated improves survival exercise capacity quality life 3,Outcome (element O)
voltage criteria lvh predict cardiovascular outcome independently lvm echocardiography methods accurate detection benefits antihypertensive treatment heart,Outcome (element O)
ninety-ve preterm neonates genders postmenstrual age 2836 weeks studied blood samples required exams heel lancing chosen painful stimulus study,Population/Problem (element P)
exclusions 480 patients suitable analysis,Not Relevant to the Evidence (Label N)
fhr considered nonreassuring late decelerations severe variable decelerations prolonged decelerations tachycardia reduced fhr variability defined national institute child health human development planning workshop,Not Relevant to the Evidence (Label N)
received kc rst day routine ic day,Intervention and Comparison (element I and C)
eligible patients randomized 1 1 receive valsartan 160 amlodipine 5 4 weeks treatment patients force-titrated valsartan 320 amlodipine 10 study,Intervention and Comparison (element I and C)
transfemoral 3 patients severe groin hematoma required blood transfusion 11 patients 4 angiography 7 pci decline hemoglobin level 3 g/dl necessity blood transfusion 2 patients suffered arteriovenous stula diagnostic angiography treated conservatively,Outcome (element O)
trastuzumab treatment continued investigators discretion capecitabine withheld,Intervention and Comparison (element I and C)
patients lvef 25% lv thrombus received anticoagulation therapy warfarin 6 months,Intervention and Comparison (element I and C)
hypothesized antihypertensive treatment regression microvascular hypertension compared calcium-channel-blocker ccb -based regimen angiotensin-converting-enzyme-inhibitor acei -based regimen retinal microvasculature,Population/Problem (element P)
intervention subjects participated outpatient phase iii cardiac rehabilitation program control received usual outpatient care including monthly medical examination physician charge,Intervention and Comparison (element I and C)
reductions bp treatment atenolol lesser reduction left ventricular mass decrease lumen diameter reduction carotid blood flow compared candesartan,Outcome (element O)
frequency uterine hyperstimulation low study difference,Not Relevant to the Evidence (Label N)
baseline t-c levels comparable 194 3 36 2 194 3 33 6 mg/dl,Outcome (element O)
analysis based 37 patients completed 3 follow-up,Population/Problem (element P)
home-based low-intensity aerobic exercise program combined resistive component impact combined all-cause hospitalization admission urgent transplantation all-cause death,Outcome (element O)
signicant within-group difference heart rate baseline phase recovery phase repeated heel sticks kangaroo mother care,Outcome (element O)
women assigned titrated oral route induced basal unit 20 misoprostol solution 1 mcg/ml prepared,Intervention and Comparison (element I and C)
rasheed al,Not Relevant to the Evidence (Label N)
cardiotocograph tracings analysed authors bbm blinded treatment uterine contraction fetal heart rate abnormalities entered separately database,Not Relevant to the Evidence (Label N)
study difference secondary patency rates 1 3 5 follow-up,Outcome (element O)
patients previous uterine surgery prostaglandin hypersensitiv- ity contractions 10 minutes nonreassuring fetal heart tracings vaginal birth contraindications excluded participation,Population/Problem (element P)
study approved ethics,Not Relevant to the Evidence (Label N)
methods studied 118 consecutive patients coronary artery disease age 57 10 underwent ptca cs 69% 31% native epicardial coronary arteries,Population/Problem (element P)
physicians avoid procedure,Not Relevant to the Evidence (Label N)
therapy continued cervix favorable amniotomy spontaneous rupture membranes active labor,Not Relevant to the Evidence (Label N)
local ethics committees approved study protocol,Not Relevant to the Evidence (Label N)
combined cvd chd death nonfatal mi stroke coronary revascularization procedures hospitalized treated angina treated hospitalized heart failure peripheral arterial disease hospitalized outpatient revascularization,Population/Problem (element P)
treatment packs appeared identical sealed prevent tampering,Not Relevant to the Evidence (Label N)
inclusion criteria women live singleton gestations cephalic presentation 37 completed weeks reassuring fetal heart rate tracings prom diagnosed 1 speculum examination aseptic technique revealing pooling amniotic fluid vagina 2 nitrazine test vaginal fluid positive ph 6 5 3 fern pattern arborization vaginal fluid microscopic examination,Population/Problem (element P)
antiarrhythmic drugs discontinued 5 half-life periods 1 week amiodarone ablation antiarrhythmics re-initiated 3-month blanking period,Intervention and Comparison (element I and C)
trial managed patients eligible enroll trial 45 age conditions multiple atherothrombotic risk factors documented coronary disease documented cerebrovascular disease documented symptomatic peripheral arterial disease,Population/Problem (element P)
secondary outcomes death noncardiac repeat revascularization procedures pci cabg,Outcome (element O)
methods study population february 2002 septem-ber 2004 486 eligible consecutive patients ami admitted 54 medical centers 28 prefectures japan appendix enrolled,Population/Problem (element P)
heart rate 24 holter ecg inuenced digitalis / diuretics therapy 149611 148610 signicantly reduced propranolol treatment 118610,Outcome (element O)
abnormal cord blood ph defined arterial ph 7 10 venous ph 7 15 arterial ph missing,Not Relevant to the Evidence (Label N)
minor adverse events observed clopidogrel aspirin included immune hypersensitivity seasonal allergy hematuria renal failure,Intervention and Comparison (element I and C)
cesarean rate pregnancy induced 42 weeks gestation 47 4% compared 47 1% non-induced pregnancy 42 weeks,Not Relevant to the Evidence (Label N)
study direct comparison antihypertensive medication artery endothelial function population patients,Population/Problem (element P)
time weaning cardiopulmonary bypass levosimendan continuous infusion 01 g/kg/min levosimendan milrionone continuous infusion 05 g/kg/min milrinone postoperative 24 hrs initiated,Intervention and Comparison (element I and C)
data quantitative techniques extend previous observations antihypertensive treatment 1 marked improvement arteriolar narrowing rarefaction effects venular retinal circulation,Outcome (element O)
conclusion return normal activities including 2 weeks ami appears safe patients stratified low-risk,Outcome (element O)
study demonstrates diagnostic therapeutic coronary procedures radial approach signicantly operator radiation exposure compared femoral approach,Outcome (element O)
findings hypertensive patients type 2 diabetes normal renal function ace inhibitor medication choice controlling blood pressure,Outcome (element O)
two-year primary secondary patency rates 36% 46% respectively20 compared trial reported patency lower tables 3e5,Outcome (element O)
women randomized vaginal route bishop score assessed prior dose procedure applied oral route,Intervention and Comparison (element I and C)
differences baseline echocardiographic parameters lv systolic diastolic dysfunc-tion-the lv ejection fraction 35 6% bmsc control 33 7% 0 42,Outcome (element O)
addition active management preferred patients 7,Not Relevant to the Evidence (Label N)
intervention patients allocated randomly receive amlodipine 5-10 lisinopril 10-20 2,Intervention and Comparison (element I and C)
gestational age infants ranged 29 36 completed weeks average 32 weeks 2 days birthweight 2200 5-min apgar 85 20 previous painful procedures,Population/Problem (element P)
women randomised 695,Population/Problem (element P)
follow-up visits 2-week intervals bp controlled 3 months subsequently,Intervention and Comparison (element I and C)
intracoronary autologous bmc administration patients decreased lvef ami improvement myocardial viability multivariate-but univariate-analysis,Outcome (element O)
patients observed 6 months,Intervention and Comparison (element I and C)
aspirate centrifuged ficoll density gradient isolate mononuclear cells washed resuspended heparin-treated plasma,Intervention and Comparison (element I and C)
patients undergoing primary isolated cabg cardiopulmonary bypass eligible inclusion study,Population/Problem (element P)
signed informed consent blood samples examination serum markers inflammation plaque instability crp il-6 papp-a/prombp patients randomized fluvastatin 80 placebo,Intervention and Comparison (element I and C)
categorical data analyzed chi-square test,Not Relevant to the Evidence (Label N)
randomized trial conducted july 11 2001 august 2 2002 health sciences center st,Not Relevant to the Evidence (Label N)
findings consistent analyses included update national cholesterol education program adult treatment panel iii guidelines support direct proportional relationship magnitude ldl cholesterol level lowering coronary heart disease risk reduction,Outcome (element O)
methods women randomised receive 50 misoprostol orally vaginally 6 cervix favourable amniotomy spontaneous rupture membranes active labour occurred,Intervention and Comparison (element I and C)
women setting traditional herbal medications late pregnancy facilitate labour,Population/Problem (element P)
adverse events observed placebo aspirin included peripheral edema cardiac palpitations dyslipidemia spinal stenosis,Intervention and Comparison (element I and C)
conclusion women term premature rupture membranes oral misoprostol induction vaginal delivery interval increased maternal satisfaction hyperstimulation compared intravenous oxytocin,Outcome (element O)
patients required ak femoro-popliteal bypass disabling claudication rest pain tissue loss absence suitable venous conduit eligible trial,Population/Problem (element P)
women intact membranes unfavorable cervix allocated oral misoprostol interval randomization delivery,Outcome (element O)
amniotomy liberally discretion managing obstetricians,Not Relevant to the Evidence (Label N)
design patients randomly assigned receive combination ac sequential treatment doxorubicin cyclophosphamide 3,Intervention and Comparison (element I and C)
patients aged 18 symptomatic heart failure york heart association class iiiv 4 weeks duration left-ventricular ejection fraction 40% intolerance ace inhibitors eligible,Population/Problem (element P)
fetal heart rate contractions monitored continuous external monitor ~45 minutes administration dose,Not Relevant to the Evidence (Label N)
accompanying fetal heart rate abnormalities oxygen administered mask 5 -10 hexoprenaline administered intravenously 5 -10 minutes,Not Relevant to the Evidence (Label N)
report three-way comparison,Not Relevant to the Evidence (Label N)
247 deaths ac 237 3 forty 46 deaths relapse,Outcome (element O)
patients health nonsmokers hypocholesterolemic drugs evidence macroangiopathy electrocardiogram ecg doppler examination nephropathy microalbuminuria defined albumin excretion rate aer 30 mg/24 hours performed overnight urine collections 17 neuropathy vibration perception threshold,Population/Problem (element P)
losartan atenolol regimens tolerated incidence drug-related clinical adverse events patients receiving losartan lower patients receiving atenolol,Outcome (element O)
enrolled 25 patients carvedilol control,Intervention and Comparison (element I and C)
exercise capacity measured vo 2 consumption strongest independent predictor all-cause cardiovascular mortality compared established risk factors patients cardiovascular disease,Outcome (element O)
exclusion criteria included suicide ideation psychiatric assessment mini 5152 evaluation major psychiatric comorbidity schizophrenia personality disorder dementia planned surgery diagnosed hf 3 months renal insufficiency serum creatinine n25 mg/dl uncontrolled hypertension acute bereavement loss month involved family crisis divorce disorder interfering independent ambulation terminal illness cancer,Population/Problem (element P)
participants allocated random hospital-based cardiac rehabilitation conventional care 12 months,Intervention and Comparison (element I and C)
december 2000 september 2003 815 consecutive patients admitted acute myocardial infarction assessed fig 1 279 uncomplicated acute myocardial infarction comorbidity,Population/Problem (element P)
primary functional outcome measure maximal oxygen consumption 63% 72% increase observed tp mp,Outcome (element O)
exclusion criteria evidence reversible ischaemia mitral valvular disease hypertrophic cardiomyopathy atrial fibrillation lv thrombi echocardiography severe life-threatening diseases limit survival and/or compliance 2-year study period contraindication asa uncontrolled hypertension bp 160/ 100 mm hg pregnancy,Population/Problem (element P)
exclusion criteria gestation 34 weeks signicant antepartum haemorrhage previous caesarean uncontrolled diabetes mellitus severe pre-eclampsia eclampsia fetal distress,Population/Problem (element P)
study focused detailed analysis lv systolic diastolic function transthoracic echocardiography speckle tracking imaging 6-month total 60 patients anterior wall stemi 18 women 42 age 56 9 range 34 72 baseline lvef 40% included study,Population/Problem (element P)
rigorous bp control capable ameliorating renal organ damage irrespective type antihypertensive drug,Outcome (element O)
observation papp-a levels influenced fluvastatin therapy agreement literary data 22 mild 23 statins papp-a,Outcome (element O)
hyperstimulation syndrome defined presence tachysystole hypertonus accompanied fetal tachycardia 160 beats minute late deceleration and/or loss variability,Not Relevant to the Evidence (Label N)
randomized double-blind multicenter study assessed long-term efficacy safety direct renin inhibitor aliskiren comparison diuretic hydrochlorothiazide patients essential hypertension,Population/Problem (element P)
respect age gestational age bishops score 3 entry,Not Relevant to the Evidence (Label N)
study population consisted consecutive patients myocardial infarction met criteria 1 age 70 2 chest pain lasting 30 360 minutes 3 st-segment elevation 2 mm 2 contagious electrocardiographic leads 4 transient creatine phosphokinase and/or mb isoenzyme increase 5 echocardiogram performed 24 hours onset pain,Population/Problem (element P)
misoprostol n=365,Not Relevant to the Evidence (Label N)
reported hf-action trial 6 survival advantage study demonstrated signicant reduction mortality cardiac events,Outcome (element O)
statistically differences neonatal outcomes,Outcome (element O)
statistical analysis intention treat relative risk 95% confidence interval discrete data difference 95% confidence intervals difference continuous data spss windows version 10 1 spss chicago usa graphpad instat version 3 01,Not Relevant to the Evidence (Label N)
randomised controlled trial hannah al,Not Relevant to the Evidence (Label N)
adjuvant treatment docetaxel improves ddfs compared vinorelbine,Outcome (element O)
setting tertiary level teaching scottish hospital,Not Relevant to the Evidence (Label N)
women recruited trial elective induction 53 received misoprostol orally 53 vaginally,Population/Problem (element P)
contrast uterine hyperstimulation occurred 12 11 3% women vaginal,Intervention and Comparison (element I and C)
patients training performed endurance resistance exercises trained cycle ergometer 30 min 5 times week 8 months 70% vo 2max,Intervention and Comparison (element I and C)
design non-blinded randomised controlled trial,Not Relevant to the Evidence (Label N)
conclusion lipid-lowering therapy statins decreases recurrent cardiovascular events congestive heart failure,Outcome (element O)
5 0 05,Not Relevant to the Evidence (Label N)
conclusions active management oral misoprostol women labour delivering 24 hours prelabour rupture membranes increase maternal neonatal complications,Outcome (element O)
patients randomly assigned centrally computer receive treatment irbesartan 300 mg/d avapro bristol-myers squibb princeton jersey amlodipine 10 mg/d norvasc pfizer york matched placebo,Intervention and Comparison (element I and C)
exclusion criteria cardiac disease contraindications anesthetics asthma renal insufficiency predicted difficulty intubation airway maintenance pregnancy,Population/Problem (element P)
women age 18 conrmed advanced/metastatic breast carcinoma history prior anthracycline exposure enrolled study provided progressive disease anthracycline-free 6 months prior start study lvef considered normal lower limit normal range center,Population/Problem (element P)
patients 807 percent 88 109 receiving chest compression mouth-to-mouth ventilation 757 percent 78 103 receiving chest compression survived hospital discharge p= 039,Outcome (element O)
keeping pharmacokinetics drug 10 lower uterine hyperstimulation rates,Not Relevant to the Evidence (Label N)
rcog 2001 br obstet gynaecol 108,Not Relevant to the Evidence (Label N)
741 women randomised 365 misoprostol 376 vaginal dinoprostone,Population/Problem (element P)
taste preparations,Not Relevant to the Evidence (Label N)
participants unknown vital status distributions baseline factors 3 treatment participants assigned lisinopril black women untreated hypertension evidence chd atherosclerotic cvd lower serum glucose,Population/Problem (element P)
exclusion criteria gestational age 36 weeks normal cardiotocography deceleration labor maternal infection contraindicating placement scalp electrodes seropositive hiv hepatitis cardiac malformation severe decelerations variability reduced entry delivery refusal participate,Population/Problem (element P)
ecog performance status 0-1 95 36 57 1% arm treated anthracyclines-based regimens table 1,Intervention and Comparison (element I and C)
seventy term-pregnant women 37-42 weeks gestation randomized informed written consent excluding following-cervix favorable amniotomy bishop score 6 non-vertex presentation intrauterine demise previous uterine scar oligohydramnios intrauterine growth retardation multifetal pregnancy clinical evidence cardiopulmonaryyhepaticyrenal disease electrolyte abnormalities pre-eclampsiayeclampsia,Intervention and Comparison (element I and C)
objective compare mortality morbidity outcomes patients hyper-tension cad treated calcium antagonist strategy cas non-calcium antagonist strategy ncas,Population/Problem (element P)
1587 patients randomized 523 received aspirin 524 received clopidogrel 540 received warfarin,Intervention and Comparison (element I and C)
conclusions losartan-and atenolol-based regimens effectively decreased blood pressure,Outcome (element O)
differences incidence thick meconium low 5-minute apgar scores 7 admission neonatal intensive care units hypoxic ischemic encephalopathy,Outcome (element O)
major adverse limb events periprocedural death malepod male included major amputation major graft reintervention placement graft interposition graft percutaneous graft thrombectomy pharmacologic thrombolysis graft excision20 pods included occurred #30 days procedure remedial procedure performed anatomic site,Outcome (element O)
primary analysis carried regard cardiac events combining primary secondary endpoints cumulative incidence combined adverse cardiac events 45% lower pimobendan placebo p=0035 suggesting pimobendan longterm benecial treatment chf,Outcome (element O)
patients underwent symptom-limited graded exercise testing assessed modied bruce protocol blood pressure heart rate 12-lead electrocardiogram data measured continuously test,Population/Problem (element P)
forty-ve women recruited trial marginally intended sample size,Population/Problem (element P)
40 58 8% nulliparous 8 11 8% previous cesarean,Not Relevant to the Evidence (Label N)
study women received 100 misoprostol orally experienced induction delivery time compared women received 50 vaginal misoprostol,Outcome (element O)
patients 18 age eligible symptomatic heart failure york heart association class ii iv 3 months entry left ventricular ejection fraction 35% measured 3 months standard technique sinus rhythm treated diuretic ace inhibitor 60 days tolerated,Population/Problem (element P)
50 oral misoprostol 4-6 hours effective 200 interval induction vaginal delivery varied 17 86 9 88 hours 37 9 41 hours hyperstimulation syndrome reported 0% 13%,Intervention and Comparison (element I and C)
january 16 2008 march 24 2009 185 infants determined eligible 3 university-affiliated level iii neonatal intensive care units,Population/Problem (element P)
keen balance efficacy safety,Not Relevant to the Evidence (Label N)
study approved human investigation committee faculty medicine memorial university newfoundland hospital,Not Relevant to the Evidence (Label N)
institutional review board irb approval randomized double-masked trial performed university tennessee college medicine chattanooga unit erlanger hospital chattanooga tn,Not Relevant to the Evidence (Label N)
specific exclusion criteria included oligohydramnios amniotic fluid <2 5th percentile gestational age 14 intrauterine growth restriction estimated fetal weight <10th percentile gestational age abruptio placenta premature rupture membranes previous uterine scar prior pg cervical ripening/labor induction contraindication vaginal delivery active genital herpes,Population/Problem (element P)
compared receiving anthracycline patients treated dexrazoxane experienced signicantly fewer cardiac events 39% versus 13% < 0001 lower severe incidence congestive heart failure 11% versus 1% < 005,Outcome (element O)
patients acute coronary syndromes acs st-segment elevation myocardial infarction stemi non-st-segment elevation acs nste-acs major bleeding common recurrent myocardial infarction occurs 5% patients depending denition,Population/Problem (element P)
signicant difference 1 2 weeks esr result signicantly ivig,Outcome (element O)
conclusion calcium channel blocker amlodipine ace inhibitor lisinopril effects combined imt carotid femoral arteries untreated elderly patients hypertensivon 2 treatment,Outcome (element O)
randomisation pack,Not Relevant to the Evidence (Label N)
women pyrexia 38jc active labour received prophylactic antibiotic cover,Intervention and Comparison (element I and C)
10 primary patency rates approach primary assisted secondary patency rates signicantly favour dacron prosthesis,Outcome (element O)
baseline data expressed values standard deviation proportions %,Not Relevant to the Evidence (Label N)
twenty-six women 81% vaginal delivery compared 28 85% 29 88% misoprostol 50 100,Outcome (element O)
patients warfarin receive randomly assigned medication received open-label therapy 34% total follow-up time patients aspirin receive assigned medication 32% time,Intervention and Comparison (element I and C)
intervention educational programme telephone follow-up participants intervention received routinely delivered institution discharge educational programme telephone follow-up,Intervention and Comparison (element I and C)
students test chi-square test statistically compare,Not Relevant to the Evidence (Label N)
6 months 38 acetylsalicylic acid daily,Intervention and Comparison (element I and C)
fire-department dispatchers structured interrogation protocol basic questions patient conscious awake patient breathing answers questions equivocal emergency-medical-services team dispatched caller assured addition scene performing intending perform cpr caller instructed caller instructions performing chest compression chest compression mouth-to-mouth ventilation fig 1 randomly assigned microcomputer located dispatchers console,Intervention and Comparison (element I and C)
hypothesized compared controls participants experience reduced impact disease physical functioning experience fewer less-troublesome symptoms,Outcome (element O)
study prospectively collected data high-risk patients randomly assigned receive continuous 48 hours bolus 1 hour infusions doxorubicin 30 mg/m2 3 weeks,Intervention and Comparison (element I and C)
initial clinical pilot studies suggested intracoronary infusion progenitor cells feasible beneficially affect post infarction remodeling processes patients acute myocardial infarction unknown treatment strategy improvements cardiacfunction patients persistent left ventricular dysfunction healed myocardial infarction established scar formation,Outcome (element O)
treatment effects patient satisfaction assessed surveys completed postpartum ward,Not Relevant to the Evidence (Label N)
findings limited risks involved sexual activity guidance support return normal sexual activity speed process,Outcome (element O)
dose increments infusion 1,Not Relevant to the Evidence (Label N)
total 49 study subjects enrolled study 23 received misoprostol doses 25 ag 26 received 50 ag doses,Population/Problem (element P)
methods fifty-three pregnant women term indications induction labor bishop score 6 randomly assigned receive misoprostol 100 orally 50 vaginally 6 48 repeated doses bishop score 8 achieved spontaneous rupture membranes occurred,Intervention and Comparison (element I and C)
half patients 15% 65 age age 54 history hypertension 9 table 1,Population/Problem (element P)
patients required karnofsky performance status 60% life expectancy 3 months adequate hematologic renal hepatic cardiac function sonographically confirmed left ventricular ejection fraction lvef 50%,Population/Problem (element P)
women choice delivered cesarean pge 2 vaginal gel rest period,Intervention and Comparison (element I and C)
conclusions-early aggressive lipid-lowering therapy atorvastatin 6 months reduced plaque volume patients acs,Outcome (element O)
emergency cesarean delivery performed women oral vaginal,Intervention and Comparison (element I and C)
extent rare adverse complications uterine rupture maternal perinatal death neonatal acidaemia remain uncertain regular audit clinical practice reporting adverse outcomes requirement clinicians institutions adopting,Not Relevant to the Evidence (Label N)
addition treatment conventional heart failure medications patients assigned receive placebo carvedilol,Intervention and Comparison (element I and C)
finding study women required hysterotomy,Outcome (element O)
conclusions data randomized multicenter study demonstrated improved midterm patency bleeding suture hole lower major adverse events fusion bioline heparin-coated vascular graft compared standard eptfe grafts,Outcome (element O)
suggested active misoprostol treatment accelerate progression prom vaginal delivery 24 prom,Outcome (element O)
complementary meta-analysis borderline signifi risk reduction 34% combination aspirin clopidogrel drug monotherapy combined outcome stroke tia acute coronary syndrome all-cause death,Outcome (element O)
contrast clopidogrel death cardiovascular symptomatic subgroup,Outcome (element O)
labor chronology,Not Relevant to the Evidence (Label N)
reach planned recruit 50-60 patients 2,Population/Problem (element P)
addition study population cardiovascular risk factors left-ventricular hypertrophy detected electrocardiogram echocardiogram abnormalities electrocardiogram type 2 diabetes peripheral arterial disease previous stroke transient ischaemic attack male sex age 55 microalbuminuria proteinuria smoking ratio plasma total cholesterol hdlcholesterol family history premature chd,Population/Problem (element P)
episode tachysystole hypertonicity hyperstimulation syndrome,Not Relevant to the Evidence (Label N)
woman post-partum haemorrhage retained placenta,Not Relevant to the Evidence (Label N)
amifostine administered 15 patients 740 mg/m2/dose 15-min intravenous infusion prior cisplatin administration,Intervention and Comparison (element I and C)
warfarin therapy managed investigative team anticoagulation clinic initiated 4 daily subjects 70 age amiodarone started 3 daily,Intervention and Comparison (element I and C)
conclusions approach oral misoprostol administration successful minimising risk uterine hyperstimulation feature misoprostol induction labour expense slower response women intact membranes unfavourable cervices,Outcome (element O)
objective examine lifestyle-focused semipersonalized support program delivered mobile phone text message cardiovascular risk factors,Intervention and Comparison (element I and C)
patients received placebo antidiabetic medication receive treatment washout period,Intervention and Comparison (element I and C)
students test compare distributed continuous data non-parametric tests wilcoxon rank sum skewed data,Not Relevant to the Evidence (Label N)
cervical effacement adequate intracervical modified balloon condom inserted low dosage intravenous oxytocin 10 units oxytocin 1000 normal saline start 2 mu 20 mu/min automatic infusion pump,Not Relevant to the Evidence (Label N)
secondary 1 hospital repeat revascularization reinfarction death 2 total hospital cost including 12 months follow-up period,Outcome (element O)
swedish trial 4966 women high-risk labor 3 major obstetrics departments reduction rate operative delivery fetal distress stan compared cardiotocography 9%-8% 047,Outcome (element O)
enrolled 306 women april 1 1999 january 10 2002,Population/Problem (element P)
enrolled march 2006 15 months program intake 30 percent demonstration enrollees age 65 9 percent age 85,Population/Problem (element P)
uterine rupture sepsis,Not Relevant to the Evidence (Label N)
cards based computer-generated randomisation table,Not Relevant to the Evidence (Label N)
ninety-six women term pregnancies randomised receive oral vaginal misoprostol dinoprostone,Intervention and Comparison (element I and C)
findings consistent etica trial 16 lower residual diameter stenosis fewer cardiac events training,Outcome (element O)
total 164 female breast cancer patients treated anthracyclines received anthracycline-based chemotherapy = 85 = 79 dexrazoxane maximum cycles,Population/Problem (element P)
countries refrigeration reliable,Not Relevant to the Evidence (Label N)
inclusion criteria study fulfilled patient randomised active conservative arm informed written consent,Not Relevant to the Evidence (Label N)
authors blinded induction agents evaluated traces strict criteria,Not Relevant to the Evidence (Label N)
candidates ineligible acute arterial occlusion requiring urgent intervention undergone prior surgical bypass target extremity angioplasty stenting performed site planned anastomosis previous 30 days,Population/Problem (element P)
study 97% patients fluvastatin 98% placebo aspirin,Intervention and Comparison (element I and C)
study comprised 1 4-week screening period 2-week wash-out period 2-week placebo run-in phase 2 38-week double-blind treatment period,Intervention and Comparison (element I and C)
evaluate efficacy dose decrease incidence precipitate labor relation parity woman,Not Relevant to the Evidence (Label N)
secondary outcome criteria total rate operative delivery irrespective percentage 1 scalp ph test labor abnormal neonate outcome ph 7 05 bd ecf 12 mmol/l 5-minute apgar score 7 neonatal intensive care unit admission convulsions neonatal death,Intervention and Comparison (element I and C)
written informed consent woman entering study,Not Relevant to the Evidence (Label N)
12 month 18 month time statistically differences control program format differences program formats sip dimension total scores,Outcome (element O)
clinic bp measured baseline weeks 3 6 9 12 15 18 21 26 35 44 52,Intervention and Comparison (element I and C)
crying time differed study phases days < 001,Outcome (element O)
response criteria primary study endpoint percentage patients achieved objective tumor response objective tumor response dened reduction serum psa levels 50% relative baseline reduction persisting 4 weeks determined 2 consecutive measurements accompanied stabilization improvement patients performance status1,Outcome (element O)
difficulties vas elderly excluded patients 75 14,Population/Problem (element P)
labor occur 12 entering study management discretion resident staff standard protocols,Not Relevant to the Evidence (Label N)
adverse effects demonstrated,Not Relevant to the Evidence (Label N)
metaanalysis study stan method reduces incidence acidosis settings fetal blood sampling,Outcome (element O)
authors midwives induction ward queens cross ward antenatal clinics patients participated trial study,Not Relevant to the Evidence (Label N)
babies randomized receive kmc ebm,Intervention and Comparison (element I and C)
march 2013march 2014 total 55 patients agreed participate study 26 allocated ct 29 ht,Intervention and Comparison (element I and C)
multicenter double-blind parallel-group study 218 patients chf york heart association class ii iii impaired left ventricular function ejection fraction 40% pulmonary capillary wedge pressure 13 mm hg randomly assigned 12 weeks treatment placebo =44 candesartan cilexetil 2 = 45 4 = 46 8 = 39 16 = 44 daily 2-week placebo run-in period,Intervention and Comparison (element I and C)
severe taxane-related toxic effects frequent severe thrombocytopenia low,Outcome (element O)
randomized computergenerated randomization prior informed consent comprising 40 patients underwent ministernotomy reversed-c reversed-l skin incision shorter 10 cm ii comprising 40 patients underwent conventional median sternotomy roughly 25-cm incision,Intervention and Comparison (element I and C)
patient receive hexoprenaline emergency cesarean fetal distress,Not Relevant to the Evidence (Label N)
